#th(º)				ph(º)			Eth(V/m)		Eth(º)		Eph(V/m)		Eph(º)
-1.790000000000000000e+02 6.900000000000000000e+01 1.433321119171029884e-06 -3.572337999999999880e+01 9.859320849851559406e-07 -1.436414800000000014e+02
-1.790000000000000000e+02 7.200000000000000000e+01 1.447276465496124100e-06 -3.395490900000000067e+01 9.630692135877633200e-07 -1.393740599999999858e+02
-1.790000000000000000e+02 7.500000000000000000e+01 1.458698377861275007e-06 -3.222142699999999849e+01 9.435034662105599212e-07 -1.348984800000000064e+02
-1.790000000000000000e+02 7.800000000000000000e+01 1.467494560021346386e-06 -3.051399199999999823e+01 9.276731781370368368e-07 -1.302370099999999979e+02
-1.790000000000000000e+02 8.100000000000000000e+01 1.473567383092197328e-06 -2.882682900000000004e+01 9.160063830650016953e-07 -1.254214400000000040e+02
-1.790000000000000000e+02 8.400000000000000000e+01 1.476865685782922433e-06 -2.715102100000000007e+01 9.087920097611913548e-07 -1.204925499999999943e+02
-1.790000000000000000e+02 8.700000000000000000e+01 1.477341847774782621e-06 -2.547977799999999959e+01 9.062812604492963491e-07 -1.155000399999999985e+02
-1.790000000000000000e+02 9.000000000000000000e+01 1.474967666387463028e-06 -2.380611499999999836e+01 9.085566260193965985e-07 -1.104960700000000031e+02
-1.780000000000000000e+02 -9.000000000000000000e+01 1.570731668834645884e-06 1.642814400000000035e+02 8.590451693160345619e-07 8.488174399999999764e+01
-1.780000000000000000e+02 -8.700000000000000000e+01 1.560964405478700155e-06 1.661929100000000119e+02 8.815003721806004722e-07 8.986176600000000292e+01
-1.780000000000000000e+02 -8.400000000000000000e+01 1.548818402054537005e-06 1.681289099999999905e+02 9.070578787885363780e-07 9.458126699999999687e+01
-1.780000000000000000e+02 -8.100000000000000000e+01 1.534394383015318308e-06 1.700932799999999929e+02 9.351633972730725746e-07 9.903578500000000417e+01
-1.780000000000000000e+02 -7.800000000000000000e+01 1.517808567715929770e-06 1.720899200000000064e+02 9.652748702235404629e-07 1.032301499999999947e+02
-1.780000000000000000e+02 -7.500000000000000000e+01 1.499168678131577534e-06 1.741237900000000138e+02 9.969147001552106355e-07 1.071749099999999970e+02
-1.780000000000000000e+02 -7.200000000000000000e+01 1.478607824268371296e-06 1.761984199999999987e+02 1.029617700354793196e-06 1.108854400000000027e+02
-1.780000000000000000e+02 -6.900000000000000000e+01 1.456263619275526256e-06 1.783198800000000119e+02 1.062958967140831664e-06 1.143773599999999959e+02
-1.780000000000000000e+02 -6.600000000000000000e+01 1.432265398131204645e-06 -1.795084600000000137e+02 1.096585502603440185e-06 1.176683400000000006e+02
-1.780000000000000000e+02 -6.300000000000000000e+01 1.406772921057584421e-06 -1.772801000000000045e+02 1.130161477699832505e-06 1.207765100000000018e+02
-1.780000000000000000e+02 -6.000000000000000000e+01 1.379929820755348703e-06 -1.749902400000000000e+02 1.163402519540850529e-06 1.237180199999999957e+02
-1.780000000000000000e+02 -5.700000000000000000e+01 1.351916909048190202e-06 -1.726320200000000114e+02 1.196049076315501565e-06 1.265084499999999963e+02
-1.780000000000000000e+02 -5.400000000000000000e+01 1.322898426831463292e-06 -1.701991500000000030e+02 1.227880210545376273e-06 1.291621900000000096e+02
-1.780000000000000000e+02 -5.100000000000000000e+01 1.293052028715981068e-06 -1.676856200000000001e+02 1.258699327032234165e-06 1.316921000000000106e+02
-1.780000000000000000e+02 -4.800000000000000000e+01 1.262588996154835601e-06 -1.650816599999999994e+02 1.288334094137190351e-06 1.341108700000000056e+02
-1.780000000000000000e+02 -4.500000000000000000e+01 1.231698748080528596e-06 -1.623817300000000046e+02 1.316635316129750855e-06 1.364282000000000039e+02
-1.780000000000000000e+02 -4.200000000000000000e+01 1.200614267530067894e-06 -1.595757299999999930e+02 1.343479363980094758e-06 1.386542499999999905e+02
-1.780000000000000000e+02 -3.900000000000000000e+01 1.169554596195998802e-06 -1.566554899999999861e+02 1.368751159232085221e-06 1.407973200000000134e+02
-1.780000000000000000e+02 -3.600000000000000000e+01 1.138779131606379036e-06 -1.536118400000000008e+02 1.392347053186592359e-06 1.428654999999999973e+02
-1.780000000000000000e+02 -3.300000000000000000e+01 1.108539059153800404e-06 -1.504376800000000003e+02 1.414177750068595394e-06 1.448656100000000038e+02
-1.780000000000000000e+02 -3.000000000000000000e+01 1.079134308216042224e-06 -1.471231400000000065e+02 1.434151396030937292e-06 1.468043600000000026e+02
